TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,fault type
55.11,55.3,46.17,45.9,75.83,77.1,83.53,85.3,82.19,70.48,54.43,55.36,87.38,15.19,132.9,-60.73,80.19,74.1,8.358,2.263,67.86,4.155,0.8462,272.5,215.3,5.9,5.9,40,35,91.2,106.7,10.4,43.4,3.6,111.8,20.4,71.4,79,76,42.56,13.85,6.86,20,0,113.3,109.6,159.8,124.7,7.8,9.4,70,30,100,45.17,50.42,56,17,55.32,75.15,61.93,58.6,18.38,60.16,120.6,F1
48.85,48.8,45.31,45.1,85.25,84.9,88.89,88.7,87.55,57.99,48.74,48.98,40.62,14.92,329.6,-303.9,31.59,30.64,2.106,1.157,45.27,2.454,1.433,267.7,214.4,4.5,2.3,40.8,35.8,91,106.2,4.7,44.8,4,141,49.7,70.9,52,50,13.52,9.468,9.553,20,0,118.8,111.8,159.3,122.4,3.8,3.5,30,0,100,5,49,56,19,55.73,79.65,49.61,49.43,14.96,50.54,242.8,F1
45.69,47.5,41.38,42.4,63.38,62,67.84,66.5,67.69,58.81,46.16,46.56,49.45,1.664,98.45,-50.66,38.58,42.76,3.572,7.749,38.16,3.555,0.9891,266,214.7,7.3,3.4,35.1,30.6,69.9,71,2.7,40.4,5.4,115.6,45.7,40.5,45,43,-0.04231,-0.02434,10.46,20,0,110.9,107.1,150.9,118.8,4.6,5.1,0,0,100,65.52,50.48,56,30,60.52,64.34,46.41,46.31,10.46,85.74,150.5,F1
54.66,54.7,45.8,45.6,84.1,84.2,92.57,92.5,90.5,72.45,54.39,54.83,94.61,23.16,201.6,-130.1,79.56,77.13,3.956,1.531,76.31,3.666,0.9592,268,215.5,6.6,4.5,39.5,34.6,97,118.1,8.1,42.9,3.7,122.7,25.5,83.8,90,86,23.4,7.034,5.964,20,0,114,109.2,161.3,125.8,8.3,8.9,50,0,100,35,49,56,25,55.48,78.88,56.77,55.85,23.76,94.93,165.4,F1
51.43,51.4,40.36,40.1,70.75,70.4,81.35,81,79.03,70.6,51.16,51.64,117.3,25.66,93.25,-1.639,99.1,96.69,4.31,1.893,80.14,4.348,0.8087,265.5,214.9,5,7,35.1,30.6,88,100.8,9.3,35.7,0.7,108.2,20,69.7,95,91,16.25,3.942,5.533,20,0,109.4,106.3,159.3,126.7,10.6,11.4,50,0,100,85,57,56,56,60.32,67.21,53.74,52.78,89.38,103.4,-9.78,F1
56.91,56.9,50.59,50.6,76.2,76.2,82.26,82,80.18,67.33,56.07,57.08,67.28,23.04,142.7,-98.51,56.53,48.99,9.067,1.524,51.2,3.882,0.9056,266.6,214.7,9,4,41.6,36.7,86,97.3,6.8,48,7.2,120.7,34.4,61.4,59,57,13.4,5.666,8.75,20,0,113.8,109.4,159.8,122.6,6,6.3,75,0,100,32,47,56,48,57.74,68.84,63.24,60.19,49.78,71.4,175.1,F1
49.38,49,45.31,44.9,86.19,86.1,90.4,90.1,88.49,58.65,49.11,49.43,47.25,21.42,334.6,-308.7,36.49,34.07,2.848,0.4262,49.57,2.588,1.359,269,215.3,4.8,2.4,40.1,35.1,92.5,109.2,4.7,44.1,4,137.1,44.6,74.9,57,55,11.73,7.06,8.971,20,0,115.7,109.8,161.8,125.7,4,4.2,30,0,100,5,49,56,26,55.48,78.42,50.14,50.08,22.41,68.35,241.6,F1
55.44,55.5,45.27,45.1,74.6,74.6,84.34,84.2,82.23,72.94,55.17,55.65,107.7,23.39,102.7,-18.39,91.29,88.87,4.321,1.897,73.94,4.341,0.8099,265.4,215.5,7.7,6.3,37.4,32.7,90.5,105.2,10,41.7,4.5,113.3,22.6,73,88,84,16.15,4.264,6.14,20,0,112,108.2,159.8,126.6,9.6,10.4,50,0,100,70,53,56,37,55.4,70.19,57.8,56.75,37.95,99.59,35.8,F1
51.39,51.6,45.15,45.3,65.8,65.3,71.73,70.9,70.27,62.82,51.16,51.6,66.8,16.44,83.83,-33.47,55.84,53.79,3.942,1.892,43.82,4.48,0.7848,270.1,214.8,7.1,3.8,38.2,33.4,74.7,78.4,5.2,43,4.8,107.7,32.8,45,50,48,5.272,2.244,9.8,20,0,109.4,106.5,155.3,119.3,5.6,6.1,45,0,100,55,49,56,47,54.99,61.15,53.33,52.58,64.11,94.6,96.81,F1
54.33,55.8,46.5,46.8,72.88,70.4,80.58,79.1,78.99,70.24,54.39,54.87,85.29,17.55,97.06,-29.32,70.25,70.76,4.316,4.832,60.3,4.096,0.8583,266,215.2,7.3,5.2,39.5,34.6,84.3,94.3,6.5,43.8,4.4,115.1,30.8,60.3,70,67,7.421,2.475,7.715,20,0,117.1,112.4,158.8,123.3,8.8,9,75,30,100,90,57,56,68.2,55.57,67.37,59.84,56.1,35.67,27.67,72.06,F1
49.91,50,40.97,40.7,80.62,80.5,89.22,89,87.14,68.72,49.68,50.12,95.86,23.13,205.4,-132.7,79.73,77.69,3.927,1.885,76.11,3.683,0.9545,267.6,214,4.7,5.3,36,31.4,94.3,112.7,8.2,38.7,3.1,118.3,23.8,80.9,89,85,19.4,5.757,6.052,20,0,111.8,107.7,161.8,129.7,8.5,9.3,45,0,100,36,49,56,34.31,59.58,75.39,51.74,51.02,35.1,94.25,166.4,F1
51.18,51.2,45.02,44.9,85.45,85.3,91.51,91.4,89.35,63.68,50.42,51.35,68.01,24.21,288.2,-244.4,55.3,48.46,8.371,1.531,60.64,3.207,1.096,269.4,215.6,5.4,3.9,39.4,34.5,95.3,114.7,6.7,43,3.6,127.7,32.4,80.4,70,67,15.97,6.679,7.715,20,0,115.1,109.6,162.3,127.8,6.1,6.4,65,0,100,20,49,56,27,55.52,76.95,57.1,54.34,27.12,72.76,224.1,F1
51.84,52,44.9,44.8,75.99,76,82.75,82.5,80.47,64.34,50.91,52.09,75.55,25.5,180.4,-130.4,62.38,54.06,10.59,2.27,55.82,3.93,0.8947,268.5,215.9,5.9,4.4,38.9,34,86.9,98.8,7.3,42.7,3.8,115.3,28.4,65.3,65,62,9.515,3.582,8.219,20,0,111.6,107.1,158.8,127.1,6.5,7.2,75,0,100,30,48,56,46,55.12,67.86,59.88,56.02,48.01,65.75,188,F1
51.39,52,43.39,43.4,66.78,66.8,74.15,74.6,73.34,66.71,51.48,51.68,81.36,8.892,73.2,-0.7329,71.43,72.31,1.739,2.619,54.14,4.638,0.758,265,214.3,6.9,4.9,36.7,32.1,79.8,86.4,8.3,40.7,4,104.9,24.9,53.7,63,60,19.22,6.72,8.428,20,0,109.8,106.9,157.8,124.4,7.6,8.4,0,0,100,100,56,56,30,60.56,68.07,51.86,51.76,28.44,41.73,3.234,F1
